Name,AB,R,HR,RBI,SB,AVG,OBP,SLG,OPS,K_%,B_%
Trea Turner ,606,108,27,86,31,0.307,0.358,0.509,0.867,0.188118812,0.079207921
Juan Soto ,519,113,35,107,12,0.319,0.465,0.577,1.042,0.192678227,0.263969171
Vladimir Guerrero,572,110,42,112,3,0.31,0.392,0.589,0.982,0.181818182,0.132867133
Jose Ramirez ,562,103,35,105,25,0.276,0.362,0.543,0.905,0.165480427,0.133451957
Bo Bichette ,605,106,28,95,21,0.296,0.342,0.5,0.842,0.209917355,0.069421488
Bryce Harper ,534,103,37,101,13,0.288,0.411,0.561,0.972,0.277153558,0.20411985
Mookie Betts ,575,115,30,83,16,0.283,0.371,0.508,0.879,0.179130435,0.135652174
Ronald Acuna,495,108,37,85,24,0.286,0.382,0.566,0.949,0.290909091,0.151515152
Mike Trout ,495,101,37,98,8,0.291,0.415,0.574,0.989,0.294949495,0.204040404
Kyle Tucker ,557,90,31,98,17,0.284,0.35,0.529,0.879,0.201077199,0.1005386
Freddie Freeman ,571,104,30,95,7,0.3,0.391,0.518,0.91,0.194395797,0.147110333
Rafael Devers ,589,101,37,107,5,0.284,0.347,0.54,0.888,0.23089983,0.095076401
Luis Robert ,558,87,28,86,17,0.291,0.337,0.509,0.846,0.256272401,0.068100358
Ozzie Albies ,603,99,28,89,18,0.273,0.325,0.49,0.815,0.1973466,0.07628524
Shohei Ohtani (hitter) ,534,101,39,95,22,0.26,0.36,0.552,0.912,0.323970037,0.153558052
Starling Marte ,543,89,17,66,34,0.282,0.331,0.435,0.766,0.202578269,0.073664825
Yordan Alvarez ,552,94,37,113,1,0.285,0.357,0.549,0.906,0.266304348,0.110507246
Manny Machado ,578,91,31,105,11,0.28,0.352,0.499,0.851,0.185121107,0.110726644
Aaron Judge ,553,99,39,100,5,0.281,0.371,0.538,0.909,0.30198915,0.141048825
Tim Anderson ,600,99,21,69,19,0.299,0.33,0.465,0.794,0.221666667,0.045
Xander Bogaerts ,574,93,26,92,7,0.292,0.365,0.494,0.859,0.209059233,0.113240418
Teoscar Hernandez ,560,88,33,102,11,0.274,0.328,0.505,0.832,0.292857143,0.078571429
Matt Olson ,553,92,39,106,3,0.264,0.36,0.525,0.885,0.238698011,0.148282098
Marcus Semien ,593,96,31,83,12,0.262,0.336,0.478,0.813,0.214165261,0.109612142
Cedric Mullins,585,89,24,63,26,0.269,0.331,0.465,0.797,0.211965812,0.090598291
Whit Merrifield ,608,88,12,64,29,0.283,0.326,0.411,0.737,0.159539474,0.064144737
Trevor Story ,569,90,28,83,22,0.263,0.33,0.481,0.811,0.270650264,0.098418278
Francisco Lindor ,576,91,27,85,14,0.258,0.332,0.454,0.786,0.192708333,0.109375
Salvador Perez ,543,75,37,99,1,0.268,0.3,0.519,0.819,0.26335175,0.046040516
Paul Goldschmidt ,576,95,29,87,7,0.281,0.362,0.487,0.849,0.239583333,0.125
Austin Riley ,573,87,32,100,0,0.281,0.338,0.506,0.845,0.284467714,0.087260035
Nick Castellanos ,583,93,31,96,3,0.284,0.337,0.516,0.853,0.240137221,0.07890223
Wander Franco ,578,94,18,80,9,0.288,0.344,0.467,0.811,0.141868512,0.083044983
Randy Arozarena ,544,88,23,74,19,0.265,0.334,0.454,0.788,0.297794118,0.101102941
Byron Buxton ,496,87,32,78,16,0.276,0.318,0.542,0.86,0.268145161,0.0625
George Springer ,537,101,35,87,6,0.268,0.35,0.514,0.864,0.249534451,0.122905028
Pete Alonso ,565,90,40,108,2,0.261,0.338,0.527,0.865,0.249557522,0.115044248
Fernando Tatis,499,102,41,98,25,0.289,0.369,0.601,0.97,0.294589178,0.124248497
Jose Altuve ,581,104,27,77,7,0.278,0.345,0.47,0.814,0.163511188,0.099827883
Tyler O'Neill ,524,87,34,89,13,0.262,0.32,0.508,0.828,0.335877863,0.083969466
Eloy Jimenez ,563,76,32,97,1,0.274,0.322,0.499,0.821,0.259325044,0.071047957
Nolan Arenado ,588,83,32,101,2,0.264,0.327,0.484,0.811,0.164965986,0.091836735
J.D. Martinez ,566,86,29,96,1,0.277,0.346,0.495,0.841,0.259717314,0.104240283
Corey Seager ,526,86,26,86,3,0.292,0.362,0.509,0.871,0.188212928,0.108365019
Jose Abreu ,577,87,31,108,1,0.27,0.33,0.488,0.817,0.244367418,0.088388215
Javier Baez ,559,80,28,86,15,0.258,0.294,0.464,0.758,0.325581395,0.051878354
Adalberto Mondesi ,494,68,17,61,43,0.25,0.29,0.429,0.719,0.305668016,0.056680162
Brandon Lowe ,534,91,35,90,6,0.251,0.332,0.5,0.832,0.310861423,0.119850187
Alex Bregman ,532,89,25,89,2,0.272,0.37,0.472,0.842,0.157894737,0.152255639
Carlos Correa ,545,88,26,90,1,0.279,0.358,0.48,0.838,0.220183486,0.121100917
Giancarlo Stanton ,513,78,35,97,1,0.269,0.351,0.514,0.865,0.315789474,0.124756335
Jorge Polanco ,584,90,26,87,10,0.272,0.328,0.47,0.798,0.195205479,0.080479452
Ketel Marte ,572,86,22,78,6,0.298,0.356,0.491,0.847,0.16958042,0.089160839
Christian Yelich ,516,90,23,78,14,0.266,0.373,0.459,0.832,0.286821705,0.166666667
Bryan Reynolds ,565,88,24,87,5,0.288,0.367,0.494,0.861,0.231858407,0.122123894
Jonathan India ,550,99,22,70,11,0.266,0.351,0.45,0.801,0.26,0.127272727
