"Team","Week","W","L","T","Weekly_.","Total_."
"COGO",1,5,4,1,0.55,0.55
"COGO",2,7,3,0,0.7,0.625
"COGO",3,9,1,0,0.9,0.717
"COGO",4,1,8,1,0.15,0.575
"COGO",5,5,5,0,0.5,0.56
"COGO",6,8,2,0,0.8,0.6
"COGO",7,6,4,0,0.6,0.6
"COGO",8,7,3,0,0.7,0.613
"COGO",9,6,3,1,0.65,0.617
"COGO",10,4,6,0,0.4,0.595
"COGO",11,6,4,0,0.6,0.595
"COGO",12,4,6,0,0.4,0.579
"COGO",13,7,3,0,0.7,0.588
"COGO",14,5,5,0,0.5,0.582
"COGO",15,7,2,1,0.75,0.593
"COGO",16,6,2,2,0.7,0.6
"COGO",17,6,2,2,0.7,0.606
"COGO",18,6,3,1,0.65,0.608
"COGO",19,1,6,3,0.25,0.589
"COGO",20,7,3,0,0.7,0.595
"COGO",21,6,4,0,0.6,0.595
"MASO",1,4,5,1,0.45,0.45
"MASO",2,7,3,0,0.7,0.575
"MASO",3,9,1,0,0.9,0.683
"MASO",4,4,4,2,0.5,0.638
"MASO",5,5,5,0,0.5,0.61
"MASO",6,6,4,0,0.6,0.608
"MASO",7,6,4,0,0.6,0.607
"MASO",8,3,7,0,0.3,0.569
"MASO",9,3,5,2,0.4,0.55
"MASO",10,5,5,0,0.5,0.545
"MASO",11,2,8,0,0.2,0.514
"MASO",12,3,6,1,0.35,0.5
"MASO",13,6,4,0,0.6,0.508
"MASO",14,5,5,0,0.5,0.507
"MASO",15,1,9,0,0.1,0.48
"MASO",16,5,5,0,0.5,0.481
"MASO",17,8,1,1,0.85,0.503
"MASO",18,5,5,0,0.5,0.503
"MASO",19,6,1,3,0.75,0.516
"MASO",20,6,4,0,0.6,0.52
"MASO",21,7,3,0,0.7,0.529
"GRAF",1,6,3,1,0.65,0.65
"GRAF",2,3,7,0,0.3,0.475
"GRAF",3,2,7,1,0.25,0.4
"GRAF",4,6,4,0,0.6,0.45
"GRAF",5,2,8,0,0.2,0.4
"GRAF",6,7,3,0,0.7,0.45
"GRAF",7,4,6,0,0.4,0.443
"GRAF",8,8,1,1,0.85,0.494
"GRAF",9,8,2,0,0.8,0.528
"GRAF",10,3,4,3,0.45,0.52
"GRAF",11,4,6,0,0.4,0.509
"GRAF",12,7,2,1,0.75,0.529
"GRAF",13,1,9,0,0.1,0.496
"GRAF",14,6,4,0,0.6,0.504
"GRAF",15,5,4,1,0.55,0.507
"GRAF",16,5,5,0,0.5,0.506
"GRAF",17,2,5,3,0.35,0.497
"GRAF",18,5,5,0,0.5,0.497
"GRAF",19,9,0,1,0.95,0.521
"GRAF",20,1,7,2,0.2,0.505
"GRAF",21,3,7,0,0.3,0.495
"SICK",1,1,9,0,0.1,0.1
"SICK",2,7,3,0,0.7,0.4
"SICK",3,1,9,0,0.1,0.3
"SICK",4,5,4,1,0.55,0.363
"SICK",5,0,9,1,0.05,0.3
"SICK",6,2,8,0,0.2,0.283
"SICK",7,2,8,0,0.2,0.271
"SICK",8,1,8,1,0.15,0.256
"SICK",9,1,7,2,0.2,0.25
"SICK",10,4,6,0,0.4,0.265
"SICK",11,8,2,0,0.8,0.314
"SICK",12,6,4,0,0.6,0.338
"SICK",13,7,1,2,0.8,0.373
"SICK",14,6,4,0,0.6,0.389
"SICK",15,2,7,1,0.25,0.38
"SICK",16,3,6,1,0.35,0.378
"SICK",17,5,2,3,0.65,0.394
"SICK",18,6,3,1,0.65,0.408
"SICK",19,2,7,1,0.25,0.4
"SICK",20,3,7,0,0.3,0.395
"SICK",21,3,7,0,0.3,0.39
"WAR",1,5,5,0,0.5,0.5
