"Player","G","AB","R","HR","RBI","SB","BB","SO","AVG","OBP","SLG","OPS"
"Aaron Hicks",32,108,13,4,14,0,14,30,0.194,0.294,0.333,0.627
"Aaron Judge",148,550,89,39,98,6,75,158,0.287,0.373,0.544,0.917
"Abraham Almonte",64,148,20,5,19,1,26,38,0.216,0.331,0.399,0.73
"Abraham Toro",95,335,45,11,46,6,31,54,0.238659701492537,0.314659701492537,0.37285671641791,0.687516417910448
"Adalberto Mondesi",35,126,19,6,17,15,6,43,0.23,0.271,0.452,0.723
"Adam Duvall",146,513,67,38,113,5,35,174,0.227836257309942,0.280879142300195,0.491576998050682,0.772456140350877
"Adam Eaton",58,189,33,5,28,2,20,55,0.201,0.298,0.344,0.642
"Adam Engel",39,123,21,7,18,7,11,31,0.252,0.336,0.496,0.832
"Adam Frazier",155,577,83,5,43,10,48,69,0.30513171577123,0.367807625649913,0.41059445407279,0.778402079722704
"Adolis Garcia",149,581,77,31,90,16,32,194,0.243,0.286,0.454,0.74
"AJ Pollock",117,384,53,21,69,9,30,80,0.297,0.355,0.536,0.891
"Akil Baddoo",124,413,60,13,55,18,45,122,0.259,0.33,0.436,0.766
"Albert Pujols",85,189,20,12,38,1,11,32,0.254,0.299,0.46,0.759
"Alcides Escobar",75,319,53,4,28,3,17,56,0.288,0.34,0.404,0.744
"Alec Bohm",115,380,46,7,47,4,31,111,0.247,0.305,0.342,0.647
"Aledmys Diaz",84,294,28,8,45,0,16,62,0.259,0.317,0.405,0.722
"Alejandro Kirk",60,165,19,8,24,0,19,22,0.242,0.328,0.436,0.764
"Alex Bregman",91,348,54,12,55,1,44,53,0.27,0.355,0.422,0.777
"Alex Dickerson",111,283,37,13,38,1,23,76,0.233,0.304,0.42,0.724
"Alex Jackson",42,108,11,3,12,0,11,60,0.157,0.26,0.278,0.538
"Alex Kirilloff",59,215,23,8,34,1,14,52,0.251,0.299,0.423,0.722
"Alex Verdugo",146,544,88,13,63,6,51,96,0.289,0.351,0.426,0.777
"Amed Rosario",141,550,77,11,57,13,31,120,0.282,0.321,0.409,0.73
"Andrelton Simmons",131,412,37,3,31,1,32,62,0.223,0.283,0.274,0.557
"Andres Gimenez",68,188,23,5,16,11,11,54,0.218,0.282,0.351,0.633
"Andrew Benintendi",134,493,63,17,73,8,36,97,0.276,0.324,0.442,0.766
"Andrew Knapp",62,145,13,2,11,0,10,61,0.152,0.215,0.214,0.429
"Andrew Knizner",63,161,18,1,9,0,20,39,0.174,0.281,0.236,0.517
"Andrew McCutchen",144,482,78,27,80,6,81,132,0.222,0.334,0.444,0.778
"Andrew Stevenson",109,192,22,5,23,1,13,61,0.229,0.294,0.339,0.633
"Andrew Vaughn",127,417,56,15,48,1,41,101,0.235,0.309,0.396,0.705
"Andy Ibanez",76,253,31,7,25,0,15,35,0.277,0.321,0.435,0.756
"Anthony Alford",49,133,14,5,11,5,12,58,0.233,0.311,0.406,0.717
"Anthony Rendon",58,217,24,6,34,0,29,41,0.24,0.329,0.382,0.711
"Anthony Rizzo",141,496,73,22,61,6,52,87,0.248348790322581,0.343907258064516,0.439721774193548,0.783629032258065
"Anthony Santander",110,406,54,18,50,1,23,101,0.241,0.286,0.433,0.719
"Aristides Aquino",84,174,25,10,23,2,27,75,0.19,0.299,0.408,0.707
"Asdrubal Cabrera",90,283,34,7,40,1,33,73,0.244,0.324,0.392,0.716
"Austin Barnes",77,200,28,6,23,1,20,56,0.215,0.299,0.345,0.644
"Austin Hays",131,488,73,22,71,4,28,107,0.256,0.308,0.461,0.769
"Austin Hedges",88,286,32,10,31,1,15,87,0.178,0.22,0.308,0.528
