"NO","Player","ROUND","Team.x","ADP","keeper","Player_Rater","round_dif","adp_player_rater","value_dif"
1,"Mike Trout",1,"SICK",1,1,0.05,0,7.102,-7.052
3,"Freddie Freeman",1,"LOY",2,1,10.58,-1,7.102,3.478
4,"Juan Soto",1,"O'S",1,1,10.91,0,7.102,3.808
6,"Mookie Betts",1,"$",1,1,6.14,0,7.102,-0.962000000000001
7,"Jacob deGrom",1,"LGM",1,1,9.84,0,7.102,2.738
10,"Ronald Acuna Jr.",1,"WAR",1,1,7.03,0,7.102,-0.0720000000000001
14,"Jose Ramirez",2,"LGM",2,1,13.02,0,8.998,4.022
20,"Max Fried",2,"SICK",8,1,8.25,-6,8.998,-0.747999999999999
21,"Dansby Swanson",3,"SICK",12,1,6.29,-9,8.359,-2.069
24,"Shane Bieber",3,"O'S",1,1,3.87,2,8.359,-4.489
26,"Fernando Tatis Jr.",3,"$",1,1,12.93,2,8.359,4.571
30,"Aaron Judge",3,"WAR",5,1,9.65,-2,8.359,1.291
38,"Blake Snell",4,"LOY",5,1,2.77,-1,6.318,-3.548
50,"Marcell Ozuna",5,"WAR",5,1,-2.11,0,6.506,-8.616
52,"Jose Abreu",6,"JEFF",4,1,7.09,2,6.301,0.789
53,"J.T. Realmuto",6,"COGO",5,1,5.66,1,6.301,-0.641
66,"Aaron Nola",7,"$",3,1,5.33,4,5.837,-0.507
69,"DJ LeMahieu",7,"JEFF",3,1,3.93,4,5.837,-1.907
72,"Brandon Woodruff",8,"JEFF",6,1,10.16,2,4.924,5.236
79,"Trevor Bauer",8,"MASO",2,1,6.31,6,4.924,1.386
93,"Luis Robert",10,"COGO",4,1,4.24,6,5.233,-0.992999999999999
97,"Corey Seager",10,"O'S",5,1,3.99,5,5.233,-1.243
116,"Michael Conforto",12,"GRAF",8,1,0.86,4,4.528,-3.668
118,"Lance Lynn",12,"LOY",8,1,8.24,4,4.528,3.712
119,"Hyun Jin",12,"MASO",8,1,4.65,4,4.528,0.122
159,"Ian Anderson",16,"MASO",10,1,3.94,6,5.167,-1.227
176,"Kyle Tucker",18,"GRAF",4,1,9.99,14,3.369,6.621
225,"Gio Urshela",23,"GRAF",18,1,1.79,5,2.326,-0.536
247,"Dylan Bundy",25,"LGM",12,1,-1.91,13,1.916,-3.826
248,"Trent Grisham",25,"COGO",8,1,4.08,17,1.916,2.164
